iter	RMSE
0	11588.83457
1	11216.59098
2	10888.78244
3	10579.06906
4	10294.58208
5	10020.96261
6	9738.23437
7	9465.732784
8	9200.029367
9	8961.306112
10	8748.917513
11	8520.407705
12	8299.819214
13	8086.885538
14	7914.022907
15	7752.711158
16	7580.386545
17	7408.47946
18	7246.901982
19	7119.796156
20	6976.163784
21	6842.678417
22	6704.144466
23	6577.114928
24	6456.869047
25	6343.617937
26	6239.218923
27	6136.344452
28	6046.339476
29	5953.743338
30	5899.139008
31	5815.219904
32	5739.645551
33	5669.663649
34	5604.856324
35	5547.547996
36	5486.46999
37	5430.213051
38	5384.051165
39	5339.368732
40	5291.580385
41	5265.856964
42	5226.325222
43	5185.105176
44	5153.362946
45	5113.97158
46	5086.405464
47	5056.258262
48	5028.086922
49	4998.098914
50	4974.811033
51	4952.013908
52	4933.54463
53	4908.880328
54	4886.255823
55	4868.253
56	4851.253112
57	4827.562068
58	4812.441218
59	4794.189219
60	4778.250371
61	4760.123127
62	4746.828231
63	4730.468971
64	4718.101395
65	4703.388784
66	4694.915776
67	4684.14233
68	4673.847801
69	4664.842293
70	4651.314922
71	4644.068129
72	4633.985261
73	4625.971347
74	4618.741176
75	4611.933034
76	4602.750911
77	4594.967355
78	4587.266487
79	4579.971268
80	4576.465469
81	4570.804373
82	4564.577381
83	4557.260967
84	4551.022248
85	4546.825212
86	4542.892636
87	4538.190085
88	4533.353231
89	4527.150152
90	4522.512109
91	4519.461419
92	4513.918001
93	4510.053912
94	4506.377178
95	4502.402936
96	4498.969632
97	4495.789542
98	4492.097607
99	4488.330928
100	4483.425517
101	4481.496798
102	4478.822329
103	4476.840685
104	4474.051044
105	4471.145155
106	4469.057088
107	4464.921119
108	4461.745419
109	4458.211312
110	4455.687674
111	4452.612582
112	4450.486338
113	4445.693739
114	4442.99359
115	4439.950647
116	4438.259976
117	4435.884038
118	4433.035423
119	4431.893853
120	4429.638651
121	4428.15774
122	4424.386115
123	4421.586017
124	4418.815399
125	4415.903167
126	4414.154187
127	4410.079159
128	4408.044091
129	4406.590232
130	4404.012755
131	4399.626149
132	4395.510113
133	4393.374564
134	4391.038581
135	4389.219807
136	4387.24195
137	4386.260269
138	4384.336836
139	4382.333865
140	4379.190896
141	4377.200848
142	4372.466063
143	4370.517929
144	4368.471741
145	4367.092521
146	4365.235363
147	4363.791045
148	4359.765899
149	4358.278694
150	4357.136637
151	4355.745551
152	4354.136804
153	4353.054215
154	4351.430752
155	4349.37885
156	4346.355246
157	4344.582511
158	4342.658739
159	4341.154378
160	4339.782698
161	4337.98778
162	4336.923709
163	4335.250119
164	4333.390495
165	4331.662592
166	4330.147992
167	4329.144887
168	4327.966473
169	4326.493354
170	4324.326613
171	4323.003522
172	4321.019496
173	4320.017698
174	4318.231224
175	4317.130121
176	4315.875419
177	4314.700884
178	4313.755494
179	4311.578385
180	4310.517833
181	4306.952391
182	4305.368694
183	4304.386504
184	4303.426104
185	4301.892063
186	4301.336242
187	4300.209698
188	4298.860543
189	4296.526868
190	4294.602789
191	4293.194203
192	4290.795036
193	4289.963073
194	4288.744934
195	4285.419567
196	4284.223723
197	4283.558031
198	4280.62164
199	4277.355091
200	4276.181325
201	4274.546149
202	4270.129452
203	4269.126633
204	4267.222819
205	4266.342984
206	4264.926068
207	4264.470563
208	4263.585293
209	4262.481685
210	4260.888905
211	4260.035476
212	4258.266344
213	4257.43775
214	4255.94976
215	4254.530831
216	4253.455807
217	4251.384235
218	4250.521922
219	4249.472969
220	4246.569183
221	4243.65277
222	4242.754472
223	4241.837312
224	4238.726521
225	4238.037695
226	4235.155692
227	4234.04161
228	4233.348574
229	4232.597965
230	4232.062725
231	4229.687534
232	4228.738721
233	4227.919632
234	4227.238902
235	4226.495347
236	4225.619808
237	4224.914261
238	4224.354018
239	4222.466469
240	4221.968928
241	4220.91513
242	4219.995103
243	4218.934795
244	4217.562467
245	4215.265373
246	4214.632259
247	4213.80549
248	4212.782283
249	4211.88502
250	4211.191861
251	4210.458685
252	4209.521736
253	4207.054674
254	4206.207108
255	4202.923882
256	4202.043688
257	4201.525076
258	4200.860333
259	4198.918093
260	4197.830858
261	4197.612463
262	4196.869192
263	4196.226141
264	4193.921932
265	4191.654699
266	4190.942052
267	4189.649248
268	4188.872689
269	4185.520075
270	4184.516248
271	4184.308985
272	4184.090145
273	4183.321265
274	4180.258739
275	4179.698658
276	4179.033746
277	4178.48244
278	4177.767193
279	4176.086826
280	4175.558698
281	4173.291134
282	4172.642537
283	4171.994661
284	4171.831266
285	4171.223002
286	4170.047606
287	4167.374532
288	4164.825131
289	4163.692919
290	4163.110466
291	4161.379322
292	4158.812391
293	4158.319098
294	4157.818837
295	4156.346174
296	4153.226225
297	4150.88047
298	4150.403057
299	4149.79072
300	4149.177021
301	4148.9707
302	4147.967105
303	4145.617517
304	4142.957066
305	4141.275253
306	4141.077517
307	4140.491327
308	4138.540468
309	4137.22468
310	4136.432301
311	4135.767159
312	4135.323476
313	4133.552946
314	4131.552887
315	4130.62819
316	4130.07613
317	4127.124974
318	4124.985886
319	4124.395295
320	4121.019703
321	4118.994885
322	4116.066727
323	4115.186208
324	4114.766629
325	4113.361252
326	4112.699351
327	4112.293695
328	4111.399024
329	4108.920726
330	4107.043047
331	4103.982462
332	4102.111864
333	4100.080493
334	4097.597739
335	4097.081767
336	4096.582859
337	4094.212779
338	4091.957757
339	4091.4703
340	4090.863723
341	4090.586236
342	4090.114746
343	4088.331528
344	4086.444105
345	4084.857129
346	4082.622573
347	4082.165213
348	4081.417192
349	4080.97286
350	4080.272006
351	4078.120551
352	4077.328242
353	4075.893318
354	4074.723591
355	4072.997387
356	4072.233144
357	4071.814316
358	4070.164114
359	4067.569668
360	4067.289358
361	4066.861325
362	4066.464771
363	4064.643164
364	4061.999296
365	4061.583544
366	4060.480526
367	4060.079483
368	4059.178929
369	4058.530752
370	4057.896516
371	4057.518051
372	4057.150574
373	4055.324238
374	4054.119581
375	4052.053107
376	4049.816106
377	4048.498341
378	4047.965058
379	4046.247287
380	4045.579743
381	4044.066492
382	4043.459879
383	4041.450212
384	4040.754821
385	4038.112882
386	4037.469802
387	4035.683729
388	4034.867
389	4033.608032
390	4032.380691
391	4031.812725
392	4031.233505
393	4030.616116
394	4030.095043
395	4028.416839
396	4028.251628
397	4026.998575
398	4025.819363
399	4025.180106
400	4024.3179
401	4024.016046
402	4023.087147
403	4021.321332
404	4019.527034
405	4018.863741
406	4016.606129
407	4015.158736
408	4013.24611
409	4012.257334
410	4011.686604
411	4010.545397
412	4009.947574
413	4009.333118
414	4007.932282
415	4006.127395
416	4005.679615
417	4004.40658
418	4003.663667
419	4003.152032
420	4001.972946
421	4001.362155
422	4000.876258
423	4000.391216
424	3998.395493
425	3997.641752
426	3997.038345
427	3995.724131
428	3994.328922
429	3992.609024
430	3992.288732
431	3991.159827
432	3988.790109
433	3988.349461
434	3986.161697
435	3985.551361
436	3984.989705
437	3984.422701
438	3983.902526
439	3983.341131
440	3983.033581
441	3982.923866
442	3980.201551
443	3979.91013
444	3979.343728
445	3976.768208
446	3976.296891
447	3975.838477
448	3974.001837
449	3972.276723
450	3970.99643
451	3970.457039
452	3969.170704
453	3968.583992
454	3968.025208
455	3965.976466
456	3965.534595
457	3964.289865
458	3962.817616
459	3962.303208
460	3961.353101
461	3960.485101
462	3959.749267
463	3957.174616
464	3956.187008
465	3955.701233
466	3954.60891
467	3954.189463
468	3954.109849
469	3953.035676
470	3950.657387
471	3950.366697
472	3949.963672
473	3949.460183
474	3948.974743
475	3947.497207
476	3947.278166
477	3946.81033
478	3946.35918
479	3945.243188
480	3945.034186
481	3944.807241
482	3944.375987
483	3943.842216
484	3943.36281
485	3943.037218
486	3941.685989
487	3941.488981
488	3939.165343
489	3938.794332
490	3937.974473
491	3937.483389
492	3937.065943
493	3936.586658
494	3936.223742
495	3935.063164
496	3934.631904
497	3934.340145
498	3934.014052
499	3932.258765
500	3930.791779
501	3930.25979
502	3929.244692
503	3928.843607
504	3927.143464
505	3925.709397
506	3923.649422
507	3921.750413
508	3920.825362
509	3920.431887
510	3920.198104
511	3919.12072
512	3918.223822
513	3917.153667
514	3916.217468
515	3915.283707
516	3914.914069
517	3914.591842
518	3914.221686
519	3910.368375
520	3910.104916
521	3908.880657
522	3907.939531
523	3907.026955
524	3906.157468
525	3905.874729
526	3905.514418
527	3905.165066
528	3904.579123
529	3903.452044
530	3903.215366
531	3902.530552
532	3901.179508
533	3898.530508
