iter	Passed	Remaining
0	139	138883
1	139	69671
2	140	46612
3	140	35045
4	141	28101
5	141	23470
6	142	20171
7	142	17686
8	143	15751
9	143	14203
10	143	12943
11	144	11894
12	144	11005
13	145	10259
14	146	9604
15	146	9015
16	147	8505
17	147	8050
18	148	7645
19	148	7277
20	148	6943
21	149	6640
22	149	6364
23	150	6110
24	150	5876
25	151	5660
26	151	5458
27	151	5275
28	152	5101
29	152	4939
30	152	4782
31	153	4641
32	153	4511
33	154	4385
34	154	4267
35	155	4155
36	155	4049
37	156	3951
38	156	3857
39	156	3767
40	157	3681
41	157	3595
42	158	3517
43	158	3443
44	158	3372
45	159	3305
46	159	3240
47	160	3179
48	160	3120
49	161	3063
50	161	3008
51	162	2955
52	162	2902
53	162	2854
54	163	2807
55	163	2762
56	164	2718
57	164	2676
58	165	2635
59	165	2596
60	166	2561
61	166	2526
62	167	2491
63	168	2457
64	168	2424
65	169	2392
66	169	2361
67	170	2331
68	170	2301
69	171	2271
70	171	2243
71	172	2217
72	172	2190
73	172	2164
74	173	2138
75	173	2113
76	174	2089
77	174	2066
78	175	2043
79	175	2023
80	176	2001
81	176	1980
82	177	1959
83	177	1939
84	178	1919
85	178	1900
86	179	1881
87	179	1863
88	180	1844
89	180	1826
90	181	1808
91	181	1790
92	181	1773
93	182	1756
94	182	1740
95	183	1725
96	183	1710
97	184	1696
98	184	1681
99	185	1666
100	185	1652
101	186	1638
102	186	1624
103	186	1610
104	187	1596
105	187	1583
106	188	1570
107	188	1557
108	189	1545
109	189	1533
110	190	1521
111	190	1510
112	190	1499
113	191	1488
114	191	1477
115	192	1466
116	192	1456
117	193	1445
118	193	1435
119	194	1424
120	194	1414
121	195	1405
122	195	1395
123	196	1386
124	196	1376
125	197	1367
126	197	1359
127	198	1350
128	198	1341
129	199	1333
130	199	1324
131	200	1316
132	200	1307
133	201	1299
134	201	1291
135	202	1283
136	202	1274
137	202	1267
138	203	1260
139	203	1252
140	204	1245
141	204	1238
142	205	1231
143	206	1225
144	206	1218
145	207	1211
146	207	1204
147	208	1197
148	208	1191
149	209	1184
150	209	1178
151	210	1171
152	210	1165
153	210	1158
154	211	1152
155	211	1145
156	212	1139
157	212	1133
158	213	1127
159	213	1121
160	213	1115
161	214	1109
162	214	1103
163	215	1097
164	215	1091
165	216	1086
166	216	1080
167	216	1074
168	217	1069
169	217	1063
170	218	1058
171	218	1052
172	219	1047
173	219	1042
174	220	1037
175	220	1033
176	221	1031
177	223	1030
178	224	1029
179	225	1025
180	225	1020
181	226	1016
182	226	1011
183	227	1007
184	227	1002
185	228	998
186	228	993
187	229	989
188	229	985
189	230	980
190	230	976
191	230	971
192	231	967
193	231	963
194	232	959
195	232	955
196	233	951
197	233	946
198	234	942
199	234	938
200	235	934
201	235	931
202	236	928
203	236	924
204	237	920
205	237	917
206	238	913
207	238	909
208	239	905
209	239	902
210	240	898
211	240	894
212	241	890
213	241	887
214	242	883
215	242	880
216	242	876
217	243	872
218	243	869
219	244	865
220	244	862
221	245	859
222	245	855
223	246	852
224	246	848
225	246	845
226	247	842
227	247	839
228	248	835
229	248	832
230	249	829
231	249	825
232	249	822
233	250	820
234	251	817
235	251	814
236	252	811
237	252	808
238	253	805
239	253	802
240	253	799
241	254	796
242	254	793
243	255	790
244	255	787
245	256	784
246	256	782
247	257	779
248	257	776
249	257	773
250	258	771
251	258	768
252	259	765
253	259	762
254	260	760
255	260	757
256	261	754
257	261	752
258	262	750
259	262	747
260	263	745
261	263	742
262	263	739
263	264	737
264	264	734
265	265	732
266	265	729
267	267	729
268	267	727
269	268	724
270	268	722
271	268	719
272	269	717
273	269	714
274	270	712
275	270	710
276	271	707
277	271	705
278	272	703
279	272	701
280	273	699
281	273	696
282	274	694
283	274	692
284	274	689
285	275	687
286	275	685
287	276	682
288	276	680
289	277	678
290	277	675
291	277	673
292	278	671
293	278	669
294	279	667
295	279	665
296	280	663
297	280	660
298	280	658
299	281	657
300	282	655
301	282	653
302	283	651
303	283	649
304	284	647
305	284	645
306	284	643
307	285	641
308	285	639
309	286	637
310	286	635
311	287	633
312	287	631
313	287	629
314	288	627
315	288	625
316	289	623
317	289	621
318	290	619
319	290	617
320	291	616
321	291	614
322	292	612
323	292	610
324	293	609
325	293	607
326	294	605
327	294	603
328	294	601
329	295	599
330	295	598
331	296	596
332	296	594
333	297	593
334	298	591
335	298	590
336	299	588
337	299	586
338	300	585
339	300	583
340	301	581
341	301	580
342	301	578
343	302	576
344	302	575
345	303	573
346	303	571
347	304	570
348	304	568
349	305	567
350	306	566
351	307	565
352	307	563
353	308	562
354	308	560
355	309	559
356	309	557
357	310	556
358	310	554
359	311	553
360	311	551
361	312	550
362	312	548
363	313	547
364	313	545
365	314	543
366	314	542
367	314	540
368	315	539
369	315	537
370	316	536
371	316	534
372	317	533
373	317	531
374	318	530
375	318	528
376	318	527
377	319	525
378	319	524
379	320	522
380	320	521
381	321	519
382	321	518
383	322	516
384	322	515
385	323	514
386	323	512
387	324	511
388	324	509
389	324	508
390	325	506
391	325	505
392	326	504
393	326	502
394	327	501
395	327	500
396	328	498
397	328	497
398	329	495
399	329	494
400	330	493
401	330	491
402	330	490
403	331	488
404	331	487
405	332	486
406	333	485
407	333	483
408	334	482
409	335	482
410	336	482
411	336	480
412	337	479
413	337	478
414	338	476
415	338	475
416	339	474
417	339	472
418	340	471
419	340	470
420	340	468
421	341	467
422	341	466
423	342	465
424	342	463
425	343	462
426	343	461
427	344	459
428	344	458
429	345	457
430	345	456
431	345	454
432	346	453
433	346	452
434	347	451
435	347	449
436	348	448
437	348	447
438	349	446
439	349	444
440	350	443
441	350	442
442	350	441
443	351	439
444	351	438
445	352	437
446	352	436
447	353	435
448	353	434
449	354	432
450	354	431
451	355	430
452	355	429
453	356	428
454	356	426
455	356	425
456	357	424
457	357	423
458	358	422
459	358	421
460	359	419
461	359	418
462	360	417
463	360	416
464	360	415
465	361	414
466	361	413
467	362	411
468	362	410
469	363	409
470	363	408
471	364	407
472	364	406
473	365	405
474	365	404
475	366	403
476	366	402
477	367	400
478	367	399
479	368	398
480	368	397
481	368	396
482	369	395
483	369	394
484	370	393
485	370	391
486	371	390
487	371	389
488	371	388
489	372	387
490	372	386
491	373	385
492	373	384
493	374	383
494	374	382
495	375	381
496	375	380
497	376	379
