iter	Passed	Remaining
0	141	14045
1	144	7104
2	148	4792
3	150	3622
4	153	2925
5	157	2463
6	160	2128
7	163	1874
8	166	1679
9	169	1525
10	172	1398
11	175	1289
12	178	1196
13	181	1115
14	184	1046
15	187	984
16	190	928
17	192	878
18	195	833
19	198	794
20	201	758
21	204	724
22	207	694
23	210	665
24	212	638
25	215	614
26	218	591
27	221	569
28	224	549
29	227	530
30	230	513
31	233	497
32	237	482
33	240	466
34	242	451
35	246	437
36	249	424
37	251	410
38	254	398
39	257	385
40	260	374
41	263	364
42	266	353
43	269	343
44	272	333
45	276	324
46	279	314
47	281	305
48	285	297
49	288	288
50	291	279
51	295	272
52	298	264
53	301	256
54	304	248
55	307	241
56	309	233
57	312	226
58	315	219
59	318	212
60	322	205
61	325	199
62	328	192
63	330	186
64	333	179
65	337	173
66	340	167
67	342	161
68	345	155
69	347	149
70	350	143
71	353	137
72	355	131
73	358	125
74	360	120
75	363	114
76	365	109
77	368	104
78	371	98
79	374	93
80	376	88
81	379	83
82	382	78
83	385	73
84	388	68
85	391	63
86	394	58
87	396	54
88	399	49
89	402	44
90	405	40
91	408	35
92	410	30
93	413	26
94	416	21
95	418	17
96	421	13
97	423	8
98	426	4
99	429	0
