iter	Passed	Remaining
0	165	16418
1	332	16268
2	493	15960
3	659	15838
4	824	15667
5	998	15642
6	1161	15427
7	1328	15281
8	1492	15085
9	1656	14905
10	1818	14709
11	1985	14556
12	2160	14459
13	2335	14349
14	2498	14160
15	2667	14003
16	2830	13821
17	2997	13654
18	3166	13498
19	3334	13336
20	3504	13181
21	3671	13015
22	3838	12850
23	4004	12680
24	4170	12510
25	4336	12341
26	4503	12174
27	4669	12008
28	4836	11840
29	5005	11679
30	5172	11513
31	5338	11343
32	5507	11181
33	5672	11012
34	5838	10843
35	6005	10676
36	6175	10514
37	6340	10344
38	6507	10178
39	6672	10008
40	6838	9841
41	7007	9676
42	7173	9508
43	7357	9363
44	7522	9194
45	7689	9027
46	7853	8855
47	8020	8688
48	8183	8517
49	8354	8354
50	8520	8186
51	8687	8019
52	8852	7850
53	9020	7683
54	9184	7514
55	9352	7348
56	9518	7180
57	9686	7014
58	9850	6844
59	10017	6678
60	10180	6509
61	10349	6343
62	10514	6175
63	10682	6008
64	10849	5842
65	11037	5685
66	11218	5525
67	11393	5361
68	11566	5196
69	11743	5032
70	11920	4868
71	12100	4705
72	12269	4537
73	12451	4374
74	12618	4206
75	12785	4037
76	12952	3868
77	13119	3700
78	13285	3531
79	13461	3365
80	13627	3196
81	13797	3028
82	13965	2860
83	14132	2691
84	14298	2523
85	14464	2354
86	14629	2186
87	14797	2017
88	14965	1849
89	15130	1681
90	15298	1513
91	15463	1344
92	15631	1176
93	15797	1008
94	15967	840
95	16133	672
96	16298	504
97	16465	336
98	16635	168
99	16802	0
