iter	Passed	Remaining
0	15	1496
1	28	1372
2	40	1323
3	52	1265
4	64	1230
5	76	1194
6	87	1168
7	100	1160
8	111	1130
9	124	1117
10	137	1110
11	148	1088
12	160	1073
13	175	1080
14	187	1060
15	199	1046
16	212	1037
17	227	1035
18	238	1017
19	249	999
20	262	987
21	275	976
22	290	972
23	302	959
24	329	989
25	341	973
26	353	957
27	366	942
28	377	923
29	388	906
30	399	889
31	412	875
32	423	859
33	436	846
34	449	834
35	463	824
36	474	807
37	485	792
38	502	785
39	516	774
40	532	766
41	547	756
42	560	742
43	571	727
44	584	714
45	595	698
46	606	684
47	617	669
48	631	656
49	642	642
50	657	631
51	672	620
52	684	607
53	697	593
54	708	579
55	720	565
56	732	552
57	747	541
58	758	527
59	772	514
60	785	501
61	796	488
62	807	474
63	818	460
64	831	447
65	842	433
66	855	421
67	870	409
68	884	397
69	897	384
70	911	372
71	922	358
72	933	345
73	945	332
74	960	320
75	973	307
76	985	294
77	997	281
78	1010	268
79	1024	256
80	1036	243
81	1047	230
82	1060	217
83	1074	204
84	1085	191
85	1100	179
86	1113	166
87	1125	153
88	1139	140
89	1151	127
90	1162	115
91	1175	102
92	1191	89
93	1203	76
94	1215	63
95	1225	51
96	1238	38
97	1249	25
98	1261	12
99	1272	0
