iter	RMSE
0	11682.73664
1	11410.36462
2	11151.87303
3	10909.29184
4	10677.61754
5	10466.13951
6	10260.02911
7	10068.23261
8	9886.895313
9	9717.660336
10	9558.236077
11	9410.544791
12	9270.045501
13	9142.497806
14	9020.675371
15	8908.302816
16	8802.077469
17	8702.914511
18	8610.967903
19	8525.514285
20	8445.935903
21	8371.569579
22	8302.95699
23	8238.339949
24	8178.394233
25	8123.51371
26	8072.751516
27	8024.47247
28	7980.25633
29	7939.193819
30	7901.823929
31	7866.421826
32	7833.769092
33	7802.485237
34	7774.026999
35	7748.457177
36	7724.548544
37	7702.218537
38	7680.836834
39	7662.026624
40	7644.94382
41	7629.017011
42	7612.990443
43	7599.509442
44	7586.456565
45	7573.693636
46	7562.640558
47	7552.923588
48	7543.97421
49	7534.933465
50	7525.787005
51	7518.387487
52	7511.059946
53	7503.589897
54	7496.925443
55	7491.247703
56	7485.416111
57	7479.831626
58	7474.671278
59	7469.647482
60	7466.227864
61	7463.024005
62	7460.125213
63	7456.892724
64	7454.221186
65	7451.897281
66	7449.811268
67	7447.135924
68	7445.36646
69	7443.67948
70	7441.924176
71	7440.488191
72	7439.216555
73	7437.550835
74	7435.321502
75	7433.260196
76	7432.138697
77	7431.297959
78	7429.972737
79	7429.08955
80	7428.262425
81	7428.015913
82	7426.427761
83	7425.310599
84	7424.021151
85	7423.25384
86	7422.07122
87	7421.530174
88	7420.794252
89	7420.116231
90	7419.951964
91	7419.383904
92	7418.555237
93	7417.972567
94	7417.569263
95	7417.058183
96	7416.565358
97	7415.700004
98	7415.39126
99	7415.195125
100	7414.618252
101	7414.176718
102	7413.94316
103	7413.246299
104	7413.110887
105	7412.735593
106	7412.104564
107	7411.685789
108	7411.485897
109	7410.935757
110	7410.829281
111	7410.747773
112	7410.672795
113	7410.469827
114	7409.988112
115	7409.86258
116	7409.201576
117	7408.713949
118	7408.262572
119	7407.830248
120	7407.626513
121	7407.226715
122	7406.851792
123	7406.346519
124	7406.26965
125	7405.808692
126	7405.391272
127	7404.971191
128	7404.678971
129	7404.568615
130	7404.472894
131	7404.42883
132	7404.053081
133	7404.033615
134	7403.927635
135	7403.823104
136	7403.660472
137	7403.336763
138	7403.188236
139	7402.9056
140	7402.798328
141	7402.786487
