iter	Passed	Remaining
0	154	153891
1	154	77048
2	154	51414
3	155	38603
4	155	30913
5	155	25786
6	155	22115
7	156	19369
8	156	17224
9	156	15515
10	157	14125
11	157	12957
12	157	11971
13	157	11127
14	158	10388
15	158	9748
16	158	9179
17	159	8677
18	159	8224
19	159	7815
20	159	7447
21	160	7113
22	160	6809
23	160	6530
24	160	6272
25	161	6033
26	161	5814
27	161	5611
28	161	5422
29	162	5246
30	162	5080
31	162	4923
32	163	4777
33	163	4640
34	163	4511
35	163	4387
36	164	4272
37	164	4162
38	164	4059
39	165	3960
40	165	3864
41	165	3774
42	165	3689
43	166	3607
44	166	3530
45	166	3455
46	166	3385
47	167	3315
48	167	3248
49	167	3185
50	167	3124
51	168	3066
52	168	3010
53	168	2955
54	168	2903
55	169	2853
56	169	2804
57	169	2757
58	170	2711
59	170	2667
60	170	2623
61	170	2581
62	170	2540
63	171	2502
64	171	2465
65	171	2428
66	171	2392
67	172	2358
68	172	2324
69	172	2291
70	172	2259
71	172	2228
72	173	2198
73	173	2169
74	173	2141
75	173	2113
76	174	2086
77	174	2060
78	174	2035
79	174	2009
80	174	1985
81	175	1961
82	175	1938
83	175	1915
84	175	1894
85	176	1872
86	176	1852
87	176	1831
88	176	1811
89	177	1791
90	177	1771
91	177	1753
92	177	1735
93	178	1717
94	178	1699
95	178	1682
96	178	1665
97	179	1649
98	179	1633
99	179	1617
100	179	1601
101	180	1585
102	180	1571
103	180	1557
104	180	1542
105	181	1528
106	181	1514
107	181	1500
108	181	1487
109	182	1474
110	182	1461
111	182	1448
112	182	1435
113	183	1422
114	183	1410
115	183	1399
116	183	1387
117	184	1376
118	184	1366
119	184	1356
120	185	1346
121	185	1335
122	185	1325
123	186	1314
124	186	1304
125	186	1294
126	186	1285
127	187	1275
128	187	1265
129	187	1257
130	188	1248
131	188	1239
132	188	1230
133	188	1221
134	189	1212
135	189	1203
136	189	1195
137	190	1187
138	190	1179
139	190	1170
140	190	1162
141	191	1154
142	191	1146
143	191	1138
144	191	1131
145	192	1123
146	192	1116
147	192	1108
148	192	1101
149	193	1094
150	193	1087
151	193	1079
152	193	1073
153	194	1066
154	194	1059
155	194	1052
156	194	1046
157	195	1039
158	195	1032
159	195	1026
160	195	1019
161	195	1013
162	196	1007
163	196	1000
164	196	994
165	196	989
166	197	983
167	197	977
168	197	972
169	197	966
170	198	960
171	198	955
172	198	950
173	199	944
174	199	940
