iter	RMSE
0	780.4597245
1	655.1720758
2	527.0665738
3	483.4990034
4	425.7609237
5	396.4399301
6	362.9044874
7	350.1238953
8	325.1856191
9	316.2745206
10	307.3219639
11	302.7916147
12	296.9931074
13	292.6345463
14	289.3330243
15	281.7632377
16	279.5483924
17	277.6463653
18	272.6543206
19	271.3485301
20	269.3305371
21	267.2845238
22	265.9008198
23	264.1835475
24	260.8979722
25	259.7526175
26	258.3950513
27	255.6506421
28	254.6324172
29	253.1117035
30	252.1280333
31	251.1379314
32	249.6916456
33	248.8906198
34	247.5171198
35	246.8713115
36	245.0665302
37	244.2080032
38	243.5019846
39	241.6568607
40	240.4273139
41	239.7643938
42	238.8505841
43	238.080314
44	237.7800666
45	237.1586577
46	236.0821062
47	235.1738561
48	234.752817
49	234.0693418
50	233.3334679
51	232.390974
52	231.493521
53	230.6867251
54	230.2628439
55	229.6989712
56	229.2867796
57	228.9191357
58	228.475309
59	227.7438423
60	227.3293246
61	226.4352769
62	225.8854555
63	225.6420116
64	225.288533
65	224.9216907
66	223.9588765
67	223.5507611
68	222.9963424
69	222.5516054
70	222.3282211
71	221.8769101
72	221.623252
73	221.1342754
74	220.9043896
75	220.1956019
76	219.8567816
77	219.5962509
78	219.2394378
79	219.0294134
80	218.7593199
81	218.5824938
82	218.4582935
83	217.892637
84	217.5330057
85	216.7453341
86	216.4700797
87	215.9668852
88	215.696832
89	215.2132853
90	214.8558338
91	214.3948117
92	214.0430829
93	213.6809301
94	213.3376509
95	213.1419774
96	212.951763
97	212.6448374
98	212.115793
99	211.8748932
