iter	Passed	Remaining
0	160	15867
1	163	7995
2	166	5370
3	168	4051
4	171	3260
5	174	2733
6	177	2353
7	179	2065
8	182	1842
9	184	1663
10	187	1517
11	190	1394
12	192	1290
13	195	1200
14	197	1121
15	200	1052
16	203	991
17	206	941
18	209	892
19	211	847
20	214	807
21	217	769
22	219	736
23	222	704
24	225	675
25	227	648
26	230	623
27	233	599
28	235	577
29	238	556
30	241	536
31	243	518
32	246	500
33	249	483
34	251	467
35	254	452
36	256	437
37	259	423
38	262	410
39	264	397
40	267	384
41	270	372
42	272	361
43	275	350
44	277	339
45	280	329
46	283	319
47	285	309
48	288	299
49	290	290
50	293	281
51	296	273
52	298	264
53	301	256
54	303	248
55	306	240
56	309	233
57	311	225
58	314	218
59	316	211
60	319	204
61	322	197
62	324	190
63	327	184
64	329	177
65	332	171
66	335	165
67	337	158
68	340	152
69	342	146
70	345	141
71	348	135
72	350	129
73	353	124
74	355	118
75	358	113
76	361	107
77	363	102
78	366	97
79	368	92
80	371	87
81	373	82
82	376	77
83	378	72
84	381	67
85	383	62
86	386	57
87	389	53
88	391	48
89	394	43
90	396	39
91	399	34
92	402	30
93	405	25
94	408	21
95	410	17
96	413	12
97	416	8
98	419	4
99	422	0
