iter	RMSE
0	4.692182343
1	2.689010424
2	1.689835129
3	1.238445859
4	1.041256832
5	0.9437862678
6	0.8652334764
7	0.829306943
8	0.8095949197
9	0.7550513634
10	0.7342711967
11	0.701870485
12	0.6938101685
13	0.6316560664
14	0.6217813636
15	0.6055796846
16	0.5927902904
17	0.56230045
18	0.553213301
19	0.5332351488
20	0.5221709376
21	0.4993784592
22	0.4763135457
23	0.4617042784
24	0.4474312218
25	0.4419583948
26	0.437516568
27	0.427450169
28	0.4191789763
29	0.4075233706
30	0.4032447041
31	0.397797835
32	0.3913805331
33	0.3882541214
34	0.382865222
35	0.376699853
36	0.3736053023
37	0.3703525803
38	0.3594992134
39	0.3562801791
40	0.3502777428
41	0.345547249
42	0.3431829766
43	0.3396733781
44	0.3352795541
45	0.33209004
46	0.3295999218
47	0.3272852413
48	0.3258388782
49	0.3244788762
50	0.3217109544
51	0.3190947016
52	0.3176966186
53	0.3143315354
54	0.3126045835
55	0.3116694507
56	0.309618192
57	0.3083112083
58	0.3065736798
59	0.304563069
60	0.3030506644
61	0.3014717517
62	0.3000381676
63	0.2990918441
64	0.2981837958
65	0.2965273746
66	0.2954425798
67	0.2938453684
68	0.290262231
69	0.2887928906
70	0.2876337106
71	0.2868280808
72	0.2851741791
73	0.2838949376
74	0.2831176494
75	0.282425045
76	0.2812794086
77	0.2805644512
78	0.2792953847
79	0.2770285955
80	0.276612507
81	0.2758699985
82	0.2738072993
83	0.2729430973
84	0.2721498516
85	0.2708853346
86	0.270254578
87	0.2697774273
88	0.268230349
89	0.267347338
90	0.2668020635
91	0.2663764593
92	0.2656151586
93	0.2641481483
94	0.2634768538
95	0.2628486433
96	0.2621825385
97	0.2614959841
98	0.2609196907
99	0.2602587501
