iter	Logloss
0	0.6894626633
1	0.6852239377
2	0.6806632887
3	0.6768676731
4	0.6718759191
5	0.6684083942
6	0.6640287106
7	0.6604894135
8	0.6554929879
9	0.6511622907
10	0.6477163657
11	0.643319098
12	0.6385456629
13	0.634608748
14	0.6297875243
15	0.6248881874
16	0.6213146915
17	0.6182715577
18	0.6151062845
19	0.6120156922
20	0.607513331
21	0.6038599298
22	0.6000215508
23	0.5966757623
24	0.5946774504
25	0.5919101271
26	0.587945712
27	0.5845302363
28	0.5814402608
29	0.5778548899
30	0.5751585669
31	0.5720938673
32	0.5690733733
33	0.5660466597
34	0.5621677519
35	0.5592639028
36	0.5565018552
37	0.5530167968
38	0.5509378322
39	0.5472617497
40	0.5437097375
41	0.5405687228
42	0.5370480057
43	0.5343417457
44	0.5318168389
45	0.5298830474
46	0.5276531781
47	0.5256825466
48	0.5225606656
49	0.5198912217
50	0.5174391432
51	0.5146429517
52	0.5112422549
53	0.5080610443
54	0.5048530291
55	0.5026599818
56	0.5004272911
57	0.4983716735
58	0.4967404177
59	0.4942247833
60	0.4910059563
61	0.4894128927
62	0.487491158
63	0.4855960143
64	0.4835168696
65	0.4811273174
66	0.4793212005
67	0.477380673
68	0.475420415
69	0.4729338944
70	0.4705344079
71	0.4680456933
72	0.4663813638
73	0.4648501034
74	0.4635153148
75	0.461097599
76	0.4591769843
77	0.4567350871
78	0.455066672
79	0.452722459
80	0.4510492028
81	0.4493486031
82	0.44733301
83	0.4461767713
84	0.4449485068
85	0.4429120597
86	0.441215101
87	0.4397871468
88	0.4376891625
89	0.4359839056
90	0.4343323564
91	0.4323411032
92	0.4313446613
93	0.4298843096
94	0.4278882198
95	0.4261936754
96	0.4237399405
97	0.4227562264
98	0.4208962289
99	0.4198254269
100	0.4184574466
101	0.4171528878
102	0.4153903564
103	0.4139817678
104	0.4122351263
105	0.4109511932
106	0.4095751351
107	0.4082707951
108	0.4071426051
109	0.405842086
110	0.4041604205
111	0.4031010324
112	0.4024454905
113	0.4016828944
114	0.4000224325
115	0.3990783733
116	0.3981720891
117	0.3961701155
118	0.3951365563
119	0.3936056952
120	0.3929778942
121	0.39163035
122	0.390187202
123	0.3891178719
124	0.3881054716
125	0.3871458791
126	0.3858973223
127	0.3848022251
128	0.3835123256
129	0.3825214926
130	0.3812919504
131	0.3798899361
132	0.3790429201
133	0.3785086457
134	0.3773264927
135	0.3757605608
136	0.3741965375
137	0.3728488852
138	0.37182134
139	0.3705767858
140	0.3691611878
141	0.3683901605
142	0.3676882034
143	0.3663210511
144	0.365377627
145	0.3642642562
146	0.3632694743
147	0.3625053493
148	0.3616063557
149	0.360912998
150	0.3599180228
151	0.359045149
152	0.3584090116
153	0.3574838166
154	0.3565492958
155	0.3554393686
156	0.3548258562
157	0.3541162808
158	0.3531862653
159	0.3524521722
160	0.3511436501
161	0.3502264283
162	0.3490751088
163	0.3481041142
164	0.3474592903
165	0.3468922657
166	0.3462884163
167	0.3452997732
168	0.3445209526
169	0.3437984639
170	0.3429472515
171	0.3423323678
172	0.3418391529
173	0.3409225531
174	0.3401195746
175	0.3392924782
176	0.3383569648
177	0.3377434861
178	0.3370736554
179	0.3363610317
180	0.3353844366
181	0.3345343342
182	0.3338546936
183	0.3331729606
184	0.3327715232
185	0.3320977683
186	0.3313221857
187	0.3302432731
188	0.3295589084
189	0.3288734173
190	0.327905136
191	0.3274120036
192	0.3269342555
193	0.325850773
194	0.325332959
195	0.3245011722
196	0.3241332932
197	0.3237763898
198	0.3231222215
199	0.3226961775
200	0.3221461912
201	0.3214817152
202	0.3206706155
203	0.3201827213
204	0.3197831834
205	0.3189283364
206	0.3181172233
207	0.3176505791
208	0.3170037784
209	0.316180001
210	0.3155560378
211	0.315019649
212	0.3142823944
213	0.314151538
214	0.3137629447
215	0.3136281368
216	0.3127944514
217	0.3124935756
218	0.3118758594
219	0.3111915783
220	0.310701989
221	0.3099821159
222	0.3090764358
223	0.3081683111
224	0.3075899479
225	0.3069839559
226	0.3064793116
227	0.3057718635
228	0.3052138091
229	0.3045776044
230	0.3043679132
231	0.3033493228
232	0.3027720223
233	0.3020381612
234	0.3011725955
235	0.3007139751
236	0.3002445278
237	0.2994466568
238	0.2989040995
239	0.298313318
240	0.297970606
241	0.2976831276
242	0.2972193914
243	0.2967517468
244	0.2961786236
245	0.2955679732
246	0.2952583722
247	0.2946886974
248	0.2942227837
249	0.2937909238
250	0.2933691778
251	0.2927138253
252	0.2920069627
253	0.2917228172
254	0.2911482706
255	0.290877999
256	0.2905643158
257	0.2902318014
258	0.2897926975
259	0.2891407367
260	0.2888434511
261	0.2885876865
262	0.2881114637
263	0.2877128943
264	0.2872955523
265	0.2864212813
266	0.2860011065
267	0.2857266457
268	0.2854352618
269	0.2847139431
270	0.284266791
271	0.283846195
272	0.2832941925
273	0.282750729
274	0.2821640387
275	0.2816230796
276	0.2813034137
277	0.2808261187
278	0.2803810367
279	0.2801436203
280	0.2795771013
281	0.2793663418
282	0.2790474936
283	0.2783356575
284	0.2779400593
285	0.2773657666
286	0.2769033296
287	0.276483527
288	0.2761565003
289	0.2757724744
290	0.275253787
291	0.2749106771
292	0.274690335
293	0.2740619408
294	0.2737092168
295	0.2734236896
296	0.2729468119
297	0.2724659312
298	0.2722243594
299	0.2717704611
300	0.2715243599
301	0.2712444815
302	0.2709164308
303	0.2706299266
304	0.2703240675
305	0.269982809
306	0.269653004
307	0.2692792114
308	0.2687577061
309	0.2684261342
310	0.268178205
311	0.2677162983
312	0.2673369206
313	0.2670398327
314	0.2667487885
315	0.2662835106
316	0.2658621207
317	0.2656839702
318	0.2652868935
319	0.2647132639
320	0.2643085546
321	0.2640159266
322	0.2635776166
323	0.2633017404
324	0.2629019008
325	0.2623381637
326	0.262252725
327	0.2620011031
328	0.261684191
329	0.2613606828
330	0.261029252
331	0.2603705246
332	0.2601269636
333	0.2597339653
334	0.2594242737
335	0.2592192748
336	0.2588906855
337	0.2586435108
338	0.2583526193
339	0.2579351257
340	0.257709234
341	0.2573900212
342	0.256752321
343	0.2564758352
344	0.2560877773
345	0.2557410396
346	0.2553344419
347	0.2548924637
348	0.254671184
349	0.2544111211
350	0.2540331845
351	0.2536316369
352	0.2533023131
353	0.2529339518
354	0.2527067494
355	0.2523299251
356	0.2519648835
357	0.2516847946
358	0.251382771
359	0.2511982186
360	0.2509124127
361	0.2504129398
362	0.2500962508
363	0.2497961269
364	0.2495159872
365	0.2491679163
366	0.2487416058
367	0.2484785164
368	0.2481384177
369	0.247891089
370	0.2476638153
371	0.2473772404
372	0.247124055
373	0.2468684568
374	0.2466050861
375	0.2459983502
376	0.2457248728
377	0.2454842383
378	0.2452315624
379	0.2448697474
380	0.2445141297
381	0.2442232933
382	0.243842588
383	0.2434887458
384	0.2431441008
385	0.2429048197
386	0.242766849
387	0.2424056049
388	0.2422346554
389	0.2420251195
390	0.2418768524
391	0.2416064739
392	0.2411904267
393	0.2408375364
394	0.2406120395
395	0.240423965
396	0.2401992903
397	0.2399482551
398	0.2394552486
399	0.2391846412
400	0.2389249224
401	0.238749657
402	0.2385764339
403	0.2383118996
404	0.2380058517
405	0.2377815978
406	0.2375464986
407	0.2371874361
408	0.2369637122
409	0.236680126
410	0.2364036102
411	0.2362186782
412	0.2359649625
413	0.2355895005
414	0.2354082838
415	0.2350837758
416	0.2348587426
417	0.2345433299
418	0.2341669613
419	0.2337973768
420	0.2333627848
421	0.2332819909
422	0.2331209432
423	0.2324565061
424	0.2321870301
425	0.2320184794
426	0.2317184232
427	0.2314559422
428	0.2310632324
429	0.2307959004
430	0.2304244878
431	0.230125607
432	0.2299199985
433	0.2298107507
434	0.229614154
435	0.2295861248
436	0.2294273981
437	0.2291817644
438	0.2290089479
439	0.2286899888
440	0.2284618265
441	0.228260918
442	0.2280773865
443	0.2278081372
444	0.2275898092
445	0.2272806633
446	0.2271195399
447	0.2267278515
448	0.2263777489
449	0.2261569613
450	0.2259846346
451	0.2257413148
452	0.2256085995
453	0.225238422
454	0.2250416325
455	0.2248624771
456	0.224698806
457	0.2243944189
458	0.2241766059
459	0.223943076
460	0.2237650762
461	0.2232326814
462	0.222990872
463	0.2227510235
464	0.2225529055
465	0.2223293902
466	0.2221234151
467	0.2218832382
468	0.2215200979
469	0.2213708945
470	0.2212391646
471	0.221001701
472	0.2208544855
473	0.2206414011
474	0.2205118396
475	0.2203906066
476	0.220201557
477	0.2198445257
478	0.2196167004
479	0.219476337
480	0.2192028703
481	0.2189219302
482	0.2188060041
483	0.218550589
484	0.2181506978
485	0.217833277
486	0.2177165694
487	0.2175641689
488	0.2173478877
489	0.2170580024
490	0.2168849844
491	0.2167196314
492	0.2166206158
493	0.2164526511
494	0.2161669819
495	0.2160334528
496	0.2159875421
497	0.2157273917
498	0.2154929953
499	0.2151506166
500	0.2148582928
