iter	Passed	Remaining
0	137	137136
1	137	68771
2	138	45992
3	138	34594
4	139	27744
5	139	23170
6	140	19907
7	140	17461
8	141	15569
9	141	14056
10	142	12804
11	142	11762
12	143	10882
13	143	10128
14	144	9475
15	144	8905
16	145	8404
17	145	7959
18	146	7557
19	146	7194
20	147	6863
21	147	6563
22	148	6295
23	148	6046
24	149	5814
25	149	5602
26	150	5405
27	150	5222
28	150	5053
29	151	4907
30	152	4758
31	152	4619
32	153	4491
33	153	4367
34	154	4252
35	154	4146
36	155	4042
37	155	3948
38	156	3854
39	156	3766
40	157	3684
41	158	3603
42	158	3528
43	159	3455
44	159	3385
45	160	3320
46	160	3257
47	161	3196
48	161	3137
49	162	3082
50	162	3028
51	163	2975
52	163	2924
53	164	2874
54	164	2828
55	165	2782
56	165	2737
57	165	2695
58	166	2655
59	167	2616
60	167	2582
61	168	2546
62	168	2511
63	169	2477
64	170	2448
65	170	2415
66	171	2383
67	171	2352
68	172	2322
69	172	2293
70	173	2265
71	173	2239
72	174	2213
73	174	2188
74	175	2163
75	175	2139
76	176	2115
77	176	2091
78	177	2068
79	177	2045
80	178	2023
81	178	2001
82	179	1980
83	179	1959
84	180	1944
85	181	1926
86	181	1907
87	182	1888
88	182	1870
89	183	1853
90	183	1835
91	184	1818
92	184	1802
93	185	1786
94	185	1770
95	186	1754
96	186	1739
97	187	1724
98	187	1710
99	188	1695
100	188	1681
101	189	1667
102	189	1653
103	190	1641
104	191	1628
105	191	1617
106	192	1604
107	192	1591
108	193	1579
109	193	1567
110	194	1555
111	194	1543
112	195	1531
113	195	1519
114	195	1508
115	196	1497
116	196	1485
117	197	1475
118	197	1464
119	198	1453
120	198	1443
121	199	1433
122	199	1423
123	200	1413
124	200	1403
125	201	1394
126	201	1385
127	201	1375
128	202	1366
129	202	1358
130	203	1349
131	203	1341
132	204	1332
133	204	1324
134	205	1316
135	205	1307
136	206	1299
137	206	1291
138	207	1283
139	207	1275
140	208	1267
141	208	1259
142	208	1252
143	209	1245
144	210	1238
145	210	1231
146	211	1224
147	211	1218
148	212	1212
149	212	1206
150	213	1201
151	214	1195
152	214	1189
153	215	1183
154	216	1178
155	216	1172
156	217	1166
157	217	1160
158	218	1154
159	218	1149
160	219	1143
161	220	1138
162	220	1132
163	221	1127
164	221	1121
165	222	1116
166	222	1111
167	223	1105
168	223	1100
169	224	1094
170	224	1089
171	225	1083
172	225	1078
173	226	1072
174	226	1067
175	226	1062
176	227	1057
177	227	1052
178	228	1046
179	228	1041
180	229	1036
181	229	1031
182	230	1027
183	230	1022
184	230	1017
185	231	1012
186	231	1008
187	232	1003
188	232	999
189	233	994
190	233	990
191	234	986
192	234	982
193	235	977
194	235	973
195	236	969
196	236	964
197	237	960
198	237	956
199	238	952
200	238	948
201	239	944
202	239	940
203	240	937
204	240	933
205	241	929
206	241	926
207	242	922
208	242	918
209	243	915
210	243	911
211	244	907
212	244	904
213	245	900
214	245	896
215	245	892
216	246	888
217	246	885
218	247	882
219	247	879
220	248	875
221	248	872
222	249	869
223	249	865
224	250	862
225	250	859
226	251	856
227	251	852
228	252	849
229	252	846
230	253	844
231	253	840
232	254	837
233	254	834
234	255	831
235	256	828
236	256	825
237	257	823
238	257	820
239	258	817
240	258	814
241	259	811
242	259	808
243	260	806
244	260	803
245	261	800
246	261	798
247	262	795
248	262	793
249	263	790
250	264	787
251	264	785
252	265	782
253	265	780
254	266	778
255	266	775
256	267	773
257	268	770
258	268	768
259	269	766
260	269	763
261	270	761
262	270	758
263	271	756
264	271	753
265	272	751
266	272	748
267	273	746
268	273	743
269	274	741
270	274	738
271	275	736
272	275	733
273	276	731
274	276	729
275	277	728
276	278	726
277	278	724
278	279	722
279	279	719
280	280	717
281	280	715
282	281	712
283	281	710
284	282	707
285	282	705
286	283	703
287	283	700
288	283	698
289	284	696
290	284	693
291	285	691
292	285	689
293	286	687
294	286	684
295	287	682
296	287	680
297	287	678
298	288	675
299	288	673
300	289	671
301	289	669
302	290	667
303	290	665
304	290	662
305	291	660
306	291	658
307	292	656
308	292	654
309	293	652
310	293	650
311	294	648
312	294	646
313	295	644
314	295	642
315	296	640
316	296	639
317	297	637
318	297	635
319	297	632
320	298	631
321	298	629
322	299	627
323	299	625
324	300	623
325	300	622
326	301	620
327	301	618
328	302	616
329	302	614
330	303	612
331	303	611
332	304	609
333	304	607
334	305	606
335	305	604
336	306	602
337	306	601
338	307	599
339	308	598
340	308	596
341	309	594
342	309	593
343	310	591
344	310	590
345	311	588
346	311	586
347	312	585
348	313	583
349	313	582
350	314	580
351	314	579
352	315	577
353	315	575
354	315	574
355	316	572
356	316	570
357	317	568
358	317	567
359	318	565
360	318	563
361	318	562
362	319	560
363	319	558
364	320	556
365	320	555
366	321	553
367	321	552
368	321	550
369	322	548
370	322	547
371	323	546
372	324	545
373	324	543
374	325	542
375	325	540
376	326	539
377	326	537
378	327	536
379	327	534
380	328	533
381	328	531
382	329	530
383	329	528
384	330	527
385	330	525
386	331	524
387	331	523
388	332	521
389	332	520
390	333	518
391	333	517
392	334	516
393	334	514
394	335	513
395	335	511
396	336	510
397	336	509
398	336	507
399	337	506
400	338	505
401	338	504
402	339	502
403	339	501
404	340	499
405	340	498
406	341	497
407	341	495
408	342	494
409	342	493
410	343	492
411	343	490
412	344	489
413	344	488
414	345	486
415	345	485
416	346	484
417	346	482
418	347	481
419	347	480
420	348	479
421	348	477
422	349	476
423	349	475
424	350	473
425	350	472
426	351	471
427	351	470
428	352	469
429	352	467
430	353	466
431	353	465
432	354	464
433	355	462
434	355	461
435	355	460
436	356	459
437	357	458
438	357	457
439	358	456
440	359	455
441	359	454
442	360	452
443	360	451
444	361	450
445	361	449
446	362	448
447	362	446
448	363	445
449	363	444
450	364	443
451	364	442
452	365	440
453	365	439
454	366	438
455	366	437
456	367	436
457	367	435
458	368	434
459	368	433
460	369	431
461	370	430
462	370	429
463	371	428
464	371	427
465	371	426
466	372	424
467	372	423
468	373	422
469	373	421
470	374	420
471	374	419
472	374	417
473	375	416
474	375	415
475	376	414
476	376	413
477	377	411
478	377	410
479	378	409
480	378	408
481	378	407
482	379	406
483	379	404
484	380	403
485	380	402
486	381	401
487	381	400
488	381	399
489	382	397
490	382	396
491	383	395
492	383	394
493	384	393
494	384	392
495	385	391
496	385	390
497	385	388
498	386	387
499	386	386
500	387	385
501	388	384
502	388	383
503	389	382
504	389	381
505	390	380
506	390	379
507	391	378
508	391	377
509	392	376
510	392	375
511	393	374
512	393	374
513	394	373
